material,material_display,material_class,evidence_level,evidence_level_cn,bandgap_eV,is_metal,defect_trap_score,ion_migration_score,air_stability_score,thermal_stability_score,fabrication_score,stm_evidence_score,surface_order_score,encapsulation_need_score,evidence_note,shg_x_ags,birefringence_delta_n,sublimation_temp_c,decomposition_temp_c,process_note
Sb2O3,Sb2O3,2D inorganic molecular crystal,high,已发表锚点,0.5076923076923077,0.0,0.7272727272727273,0.5000000000000001,0.7333333333333334,0.6666666666666667,0.690909090909091,1.0,0.8372093023255814,0.23529411764705885,Published 2D inorganic molecular crystal anchor with STM/STS and vdW polaron evidence.,,,,,Literature anchor candidate
PAs3S3,PAs3S3,2D cage-like inorganic molecular crystal,confirmed_mbe,已验证 MBE 生长候选,0.4230769230769231,0.0,0.7818181818181819,0.4166666666666667,0.6,0.6166666666666667,0.5818181818181818,0.5192307692307693,0.5348837209302326,0.35294117647058826,Published/reference [1] and confirmed MBE-growth candidate with clear sublimation-decomposition window.,8.0,0.15,120.0,207.0,Confirmed MBE-growth candidate; sublimation below decomposition
P3SbS3,P3SbS3,2D cage-like inorganic molecular crystal,confirmed_mbe,已验证 MBE 生长候选,0.34461538461538466,0.0,0.6727272727272726,0.3833333333333333,0.5599999999999999,0.7166666666666668,0.0909090909090909,0.3846153846153845,0.2325581395348837,0.4705882352941177,"Confirmed MBE-growth candidate with high birefringence, but raw-material synthesis remains difficult.",1.5,0.257,210.0,211.0,Confirmed MBE-growth candidate; raw-material synthesis remains difficult
P4Se3,P4Se3,2D cage-like inorganic molecular crystal,confirmed_mbe,已验证 MBE 生长候选,0.23076923076923078,0.0,0.4909090909090909,0.33333333333333337,0.5066666666666666,0.5833333333333334,0.3636363636363636,0.07692307692307689,0.06976744186046518,0.4705882352941177,Confirmed MBE-growth candidate from provided table; electronic/optical descriptors still need completion.,,,170.0,171.0,Confirmed MBE-growth candidate; sublimation about 170 C and decomposition above 170 C
As4Se3,As4Se3,2D cage-like inorganic molecular crystal,confirmed_mbe,已验证 MBE 生长候选,0.23076923076923078,0.0,0.4181818181818181,0.2833333333333333,0.3733333333333333,0.45000000000000007,0.0,0.0,0.0,0.6470588235294117,"Potential MBE-growth candidate, but large-crystal synthesis conditions still need exploration.",,,,,"Confirmed MBE-growth list, but bulk crystal synthesis conditions still need exploration"
alpha-As4S4,α-As4S4,2D cage-like inorganic molecular crystal,confirmed_mbe,已验证 MBE 生长候选,0.23076923076923078,0.0,0.38181818181818195,0.25000000000000006,0.6666666666666666,0.7500000000000001,0.2727272727272728,0.0,0.06976744186046518,0.35294117647058826,Confirmed MBE-growth candidate with high sublimation/decomposition temperatures.,,,300.0,301.0,Confirmed MBE-growth candidate; high sublimation temperature about 300 C and decomposition above 300 C
gamma-P4S3I2,γ-P4S3I2,2D cage-like inorganic molecular crystal,published,已发表但制备受限,0.36615384615384616,0.0,0.3636363636363637,0.2833333333333333,0.19999999999999996,0.0,0.0,0.07692307692307689,0.06976744186046518,0.8235294117647058,Iodine-containing cage-like crystal; cannot be obtained by sublimation and decomposes below 120 C.,0.5,0.118,,120.0,Cannot be obtained by sublimation; decomposition <120 C
beta-P4Se3Br2,β-P4Se3Br2,2D cage-like inorganic molecular crystal,published,已发表但制备受限,0.3553846153846154,0.0,0.4909090909090909,0.3833333333333333,0.19999999999999996,0.0,0.0,0.09615384615384613,0.06976744186046518,0.7647058823529411,Bromine-containing cage-like crystal with high birefringence but poor sublimation/decomposition window.,1.1,0.237,,120.0,Cannot be obtained by sublimation; decomposition <120 C
alpha-P4S5-noncentro,α-P4S5 非中心相,2D cage-like inorganic molecular crystal,suspected_mbe,待验证 MBE 生长候选,0.4646153846153846,0.0,0.5818181818181819,0.33333333333333337,0.6666666666666666,0.5500000000000002,0.0909090909090909,0.326923076923077,0.4186046511627906,0.29411764705882354,Non-centrosymmetric alpha-P4S5 with phase transition near 167 C and decomposition near 210 C.,1.1,0.134,,210.0,Suspected MBE-growth candidate; phase transition near 167 C and sublimation window needs verification
AsP3S5,AsP3S5,2D cage-like inorganic molecular crystal,suspected_mbe,待验证 MBE 生长候选,0.4030769230769231,0.0,0.5272727272727273,0.33333333333333337,0.6266666666666667,0.5166666666666668,0.0,0.13461538461538464,0.2325581395348837,0.38823529411764707,Series candidate whose properties are similar to alpha-P4S5 according to the provided table.,2.0,0.142,,,Suspected MBE-growth candidate; series properties similar to alpha-P4S5
