material,material_display,family,memristor_label,target,bandgap_eV,is_metal,defect_trap_score,ion_migration_score,air_stability_score,thermal_stability_score,fabrication_score,stm_evidence_score,surface_order_score,encapsulation_need_score,evidence_note
h-BN,h-BN,2D insulator,high,1,0.9076923076923078,0.0,0.9090909090909091,0.75,1.0,1.0,0.8181818181818182,0.8076923076923077,0.8837209302325583,0.05882352941176471,Layered h-BN memristors and artificial synapses are widely reported; defects and ion filling can mediate switching.
MoS2,MoS2,transition metal dichalcogenide,high,1,0.27692307692307694,0.0,0.7272727272727273,0.5000000000000001,0.8666666666666666,0.7500000000000001,0.9090909090909092,0.8076923076923077,0.6976744186046511,0.17647058823529416,Representative 2D semiconductor with mature growth and device literature.
WS2,WS2,transition metal dichalcogenide,medium,0,0.3076923076923077,0.0,0.5454545454545455,0.4166666666666667,0.8666666666666666,0.7166666666666668,0.7636363636363636,0.6153846153846153,0.6046511627906977,0.17647058823529416,Stable 2D semiconductor; memristor-specific data less extensive than MoS2.
WSe2,WSe2,transition metal dichalcogenide,medium,0,0.24615384615384617,0.0,0.4909090909090909,0.3833333333333333,0.7733333333333334,0.6666666666666667,0.690909090909091,0.6153846153846153,0.558139534883721,0.23529411764705885,2D semiconductor with defect-sensitive transport.
MoSe2,MoSe2,transition metal dichalcogenide,medium,0,0.23076923076923078,0.0,0.5454545454545455,0.4166666666666667,0.7466666666666667,0.65,0.6545454545454547,0.576923076923077,0.5348837209302326,0.2705882352941177,Comparable to MoS2 but generally less robust in broad device reports.
MoTe2,MoTe2,transition metal dichalcogenide,medium,0,0.16923076923076924,0.0,0.6363636363636362,0.5000000000000001,0.46666666666666673,0.5000000000000001,0.4545454545454546,0.4615384615384615,0.37209302325581406,0.4705882352941177,Phase and air-stability issues increase fabrication risk.
Black phosphorus,Black phosphorus,elemental 2D semiconductor,medium,0,0.04615384615384615,0.0,0.6363636363636362,0.33333333333333337,0.06666666666666665,0.16666666666666674,0.2727272727272728,0.6153846153846153,0.4651162790697674,0.9411764705882353,High mobility but strong ambient instability requires encapsulation.
Graphene,Graphene,2D semimetal,low,0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,Excellent electrode/channel material but semimetallicity weakens use as standalone resistive switching layer.
Graphene oxide,Graphene oxide,2D oxide/defective carbon,high,1,0.38461538461538464,0.0,1.0,0.8333333333333334,0.7333333333333334,0.5000000000000001,0.7636363636363636,0.326923076923077,0.18604651162790692,0.23529411764705885,Defect-rich oxide groups support resistive switching behavior.
Reduced graphene oxide,Reduced graphene oxide,2D defective carbon,high,1,0.10769230769230768,0.0,0.9090909090909091,0.7833333333333333,0.7733333333333334,0.5833333333333334,0.8181818181818182,0.326923076923077,0.2325581395348837,0.17647058823529416,Defect and oxygen migration pathways often contribute to switching.
Ti3C2Tx MXene,Ti3C2Tx MXene,MXene,medium,0,0.03076923076923077,1.0,0.5454545454545455,0.8333333333333334,0.19999999999999996,0.3333333333333335,0.5818181818181818,0.326923076923077,0.3023255813953489,0.7058823529411765,Surface terminations and ionic motion are useful but oxidation risk is high.
