id,topic,citation,doi_or_url
1,二维无机分子晶体,"Han W., Huang P., Li L., et al. Two-dimensional inorganic molecular crystals. Nature Communications, 2019, 10:4728.","https://doi.org/10.1038/s41467-019-12732-8"
2,Sb2O3 局域电子态,"Zhang Z. H., Wu L., Miao M. P., et al. Discovery and manipulation of van der Waals polarons in Sb2O3 ultrathin molecular crystal. Journal of the American Chemical Society, 2024, 146:18556-18564.","https://doi.org/10.1021/jacs.4c04450"
3,二维材料电子突触,"Shi Y., Liang X., Yuan B., et al. Electronic synapses made of layered two-dimensional materials. Nature Electronics, 2018, 1:458-465.","https://doi.org/10.1038/s41928-018-0118-9"
4,h-BN 忆阻器阵列,"Xie J., Afshari S., Escudero I. S., et al. Hexagonal boron nitride memristor arrays for analog-based machine learning hardware. npj 2D Materials and Applications, 2022, 6:50.","https://doi.org/10.1038/s41699-022-00322-1"
5,二维材料超快忆阻器,"Nibhanupudi S. S. T., Roy A., Veksler D., et al. Ultra-fast switching memristors based on two-dimensional materials. Nature Communications, 2024, 15:2334.","https://doi.org/10.1038/s41467-024-46579-5"
6,分子晶体忆阻器,"Qin L., Guan P., Shao J., et al. Molecular crystal memristors. Nature Nanotechnology, 2025, 20:1641-1647.","https://doi.org/10.1038/s41565-025-01955-6"
7,机器学习优化二维半导体制备,"Chen X., Xie Y., Sheng Y., et al. Wafer-scale functional circuits based on two-dimensional semiconductors with fabrication optimized by machine learning. Nature Communications, 2021, 12:5953.","https://doi.org/10.1038/s41467-021-26237-4"
8,深度学习材料发现,"Merchant A., Batzner S., Schoenholz S. S., et al. Scaling deep learning for materials discovery. Nature, 2023, 624:80-85.","https://doi.org/10.1038/s41586-023-06735-9"
9,材料组成注意力网络,"Wang A. Y.-T., Kauwe S. K., Murdock R. J., Sparks T. D. Compositionally restricted attention-based network for materials property predictions. npj Computational Materials, 2021, 7:77.","https://doi.org/10.1038/s41524-021-00545-1"
10,晶体图神经网络,"Choudhary K., DeCost B. Atomistic Line Graph Neural Network for improved materials property predictions. npj Computational Materials, 2021, 7:185.","https://doi.org/10.1038/s41524-021-00650-1"
11,XGBoost,"Chen T., Guestrin C. XGBoost: A scalable tree boosting system. Proceedings of the 22nd ACM SIGKDD International Conference on Knowledge Discovery and Data Mining, 2016:785-794.","https://doi.org/10.1145/2939672.2939785"
12,机器学习可复现性,"Pineau J., Vincent-Lamarre P., Sinha K., et al. Improving reproducibility in machine learning research: a report from the NeurIPS 2019 Reproducibility Program. Journal of Machine Learning Research, 2021, 22(164):1-20.","https://jmlr.org/papers/v22/20-303.html"
13,PAs3S3,"Wang C., Lin C., Zhao X., et al. Design of High-Performance Infrared Nonlinear Optical PAs3S3 with Perfectly Aligned Polar Molecular Cage via a Bipolar-Axis-Symmetry Coupling Strategy. Angewandte Chemie International Edition, 2025, 64:e202421825.","https://doi.org/10.1002/anie.202421825"
14,gamma-P4S3I2,"Zhao X., Lin C., Yang S., et al. gamma-P4S3I2: a new metal-free infrared second-order nonlinear optical crystal designed by polymorphism strategy. Inorganic Chemistry Frontiers, 2023, 10:1119-1126.","https://doi.org/10.1039/D2QI02313J"
15,笼状分子晶体综述/系列,"Zhao X., Lin C., Wang C., et al. Molecular crystals constructed by polar molecular cages: a promising system for exploring high-performance infrared nonlinear optical crystals. Angewandte Chemie International Edition, 2024, 63:e202319424.","https://doi.org/10.1002/anie.202319424"
16,自主实验室,"Szymanski N. J., Rendy B., Fei Y., et al. An autonomous laboratory for the accelerated synthesis of inorganic materials. Nature, 2023, 624:86-91.","https://doi.org/10.1038/s41586-023-06734-w"
17,二维材料虚拟筛选,"Sorkun M. C., Astruc S., Koelman J. M. V. A., et al. An artificial intelligence-aided virtual screening recipe for two-dimensional materials discovery. npj Computational Materials, 2020, 6:106.","https://doi.org/10.1038/s41524-020-00375-7"
18,2DMatPedia,"Zhou J., Shen L., Costa M. D., et al. 2DMatPedia, an open computational database of two-dimensional materials from top-down and bottom-up approaches. Scientific Data, 2019, 6:86.","https://doi.org/10.1038/s41597-019-0097-3"
19,C2DB,"Haastrup S., Strange M., Pandey M., et al. The Computational 2D Materials Database: high-throughput modeling and discovery of atomically thin crystals. 2D Materials, 2018, 5:042002.","https://doi.org/10.1088/2053-1583/aacfc1"
20,JARVIS,"Choudhary K., Garrity K. F., Reid A. C. E., et al. The joint automated repository for various integrated simulations (JARVIS) for data-driven materials design. npj Computational Materials, 2020, 6:173.","https://doi.org/10.1038/s41524-020-00440-1"
21,机器学习辅助二维材料合成,"Zou X., Liu Y., Yakobson B. I. Machine Learning-Assisted Synthesis of Two-Dimensional Materials. ACS Applied Materials & Interfaces, 2023, 15:1871-1878.","https://doi.org/10.1021/acsami.2c18167"
22,二维层状材料忆阻器综述,"Madhavan A. A., Deng L., Li Z., et al. Advancements in 2D layered material memristors: unleashing their potential beyond memory. npj 2D Materials and Applications, 2024, 8:116.","https://doi.org/10.1038/s41699-024-00522-4"
23,h-BN 忆阻器综述,"Ren Y., Zhang X., Wang Y., et al. Memristors based on two-dimensional h-BN materials: synthesis, mechanism, optimization and application. npj 2D Materials and Applications, 2024, 8:113.","https://doi.org/10.1038/s41699-024-00519-z"
