feature,importance_mean,importance_std,importance_normalized
defect_trap_score,0.46243476583904974,0.3208703418334669,0.4624347658390498
ion_migration_score,0.26879288326522544,0.2420566063302661,0.2687928832652255
is_metal,0.09611223559506957,0.12984003539619463,0.09611223559506958
fabrication_score,0.038770688029766104,0.03891840076487464,0.03877068802976611
bandgap_eV,0.037151639274736636,0.04788017014482997,0.03715163927473664
encapsulation_need_score,0.03435964346933055,0.046028586603900974,0.034359643469330556
surface_order_score,0.025022599309696338,0.026841732412925458,0.02502259930969634
air_stability_score,0.01579982715941151,0.014317202182047423,0.015799827159411514
thermal_stability_score,0.011676805189175554,0.011388856529834816,0.011676805189175556
stm_evidence_score,0.009878912868538503,0.01135799648096413,0.009878912868538505
