setting,material,material_display,rank,total_score
完整特征,Sb2O3,Sb2O3,1,0.8018
完整特征,PAs3S3,PAs3S3,2,0.7179
完整特征,P3SbS3,P3SbS3,3,0.5896
完整特征,alpha-P4S5-noncentro,α-P4S5 非中心相,4,0.5885
完整特征,AsP3S5,AsP3S5,5,0.5145
完整特征,P4Se5,P4Se5,6,0.5113
完整特征,P4S4Se,P4S4Se,7,0.5112
完整特征,AsP3S4Se,AsP3S4Se,8,0.5032
完整特征,P4Se3,P4Se3,9,0.4882
完整特征,beta-P4S5-centro,β-P4S5 中心相,10,0.4748
完整特征,alpha-As4S4,α-As4S4,11,0.4727
完整特征,P4SSe4,P4SSe4,12,0.4607
完整特征,As4Se3,As4Se3,13,0.3792
完整特征,beta-P4Se3Br2,β-P4Se3Br2,14,0.35
完整特征,gamma-P4S3I2,γ-P4S3I2,15,0.3213
完整特征,P4O6S4,P4O6S4,16,0.2885
去除 STM/STS,Sb2O3,Sb2O3,1,0.7366
去除 STM/STS,PAs3S3,PAs3S3,2,0.7141
去除 STM/STS,P3SbS3,P3SbS3,3,0.6161
去除 STM/STS,alpha-P4S5-noncentro,α-P4S5 非中心相,4,0.609
去除 STM/STS,P4Se5,P4Se5,5,0.5658
去除 STM/STS,P4S4Se,P4S4Se,6,0.5647
去除 STM/STS,AsP3S5,AsP3S5,7,0.5635
去除 STM/STS,AsP3S4Se,AsP3S4Se,8,0.5567
去除 STM/STS,P4Se3,P4Se3,9,0.5521
去除 STM/STS,alpha-As4S4,α-As4S4,10,0.5436
去除 STM/STS,P4SSe4,P4SSe4,11,0.5198
去除 STM/STS,beta-P4S5-centro,β-P4S5 中心相,12,0.5067
去除 STM/STS,As4Se3,As4Se3,13,0.4542
去除 STM/STS,beta-P4Se3Br2,β-P4Se3Br2,14,0.4122
去除 STM/STS,gamma-P4S3I2,γ-P4S3I2,15,0.3852
去除 STM/STS,P4O6S4,P4O6S4,16,0.3635
去除沉积窗口,Sb2O3,Sb2O3,1,0.7628
去除沉积窗口,PAs3S3,PAs3S3,2,0.6504
去除沉积窗口,alpha-P4S5-noncentro,α-P4S5 非中心相,3,0.6065
去除沉积窗口,P3SbS3,P3SbS3,4,0.5716
去除沉积窗口,AsP3S5,AsP3S5,5,0.5385
去除沉积窗口,P4S4Se,P4S4Se,6,0.5352
去除沉积窗口,P4Se5,P4Se5,7,0.5323
去除沉积窗口,beta-P4S5-centro,β-P4S5 中心相,8,0.5288
去除沉积窗口,AsP3S4Se,AsP3S4Se,9,0.5272
去除沉积窗口,P4SSe4,P4SSe4,10,0.4907
去除沉积窗口,P4Se3,P4Se3,11,0.4462
去除沉积窗口,alpha-As4S4,α-As4S4,12,0.4457
去除沉积窗口,beta-P4Se3Br2,β-P4Se3Br2,13,0.4175
去除沉积窗口,As4Se3,As4Se3,14,0.3912
去除沉积窗口,gamma-P4S3I2,γ-P4S3I2,15,0.3888
去除沉积窗口,P4O6S4,P4O6S4,16,0.359
去除稳定性,Sb2O3,Sb2O3,1,0.7589
去除稳定性,PAs3S3,PAs3S3,2,0.6953
去除稳定性,P3SbS3,P3SbS3,3,0.5676
去除稳定性,alpha-P4S5-noncentro,α-P4S5 非中心相,4,0.5622
去除稳定性,AsP3S5,AsP3S5,5,0.4973
去除稳定性,P4S4Se,P4S4Se,6,0.4961
去除稳定性,AsP3S4Se,AsP3S4Se,7,0.4938
去除稳定性,P4Se3,P4Se3,8,0.4808
去除稳定性,P4Se5,P4Se5,9,0.4777
去除稳定性,beta-P4S5-centro,β-P4S5 中心相,10,0.468
去除稳定性,P4SSe4,P4SSe4,11,0.4634
去除稳定性,alpha-As4S4,α-As4S4,12,0.4342
去除稳定性,beta-P4Se3Br2,β-P4Se3Br2,13,0.423
去除稳定性,As4Se3,As4Se3,14,0.3998
去除稳定性,gamma-P4S3I2,γ-P4S3I2,15,0.396
去除稳定性,P4O6S4,P4O6S4,16,0.3885
仅本征特征,Sb2O3,Sb2O3,1,0.6547
仅本征特征,PAs3S3,PAs3S3,2,0.624
仅本征特征,alpha-P4S5-noncentro,α-P4S5 非中心相,3,0.6006
仅本征特征,P3SbS3,P3SbS3,4,0.576
仅本征特征,P4S4Se,P4S4Se,5,0.5735
仅本征特征,AsP3S4Se,AsP3S4Se,6,0.5712
仅本征特征,AsP3S5,AsP3S5,7,0.5703
仅本征特征,beta-P4S5-centro,β-P4S5 中心相,8,0.5539
仅本征特征,P4Se5,P4Se5,9,0.5533
仅本征特征,beta-P4Se3Br2,β-P4Se3Br2,10,0.5526
仅本征特征,P4SSe4,P4SSe4,11,0.5524
仅本征特征,P4O6S4,P4O6S4,12,0.534
仅本征特征,gamma-P4S3I2,γ-P4S3I2,13,0.5274
仅本征特征,P4Se3,P4Se3,14,0.5027
仅本征特征,As4Se3,As4Se3,15,0.4868
仅本征特征,alpha-As4S4,α-As4S4,16,0.478
